"SiparisDetayID","SiparisID","UrunID","Adet","Fiyat"
"359","218","73","5","1260.87"
"360","44","23","1","4124.18"
"361","143","126","5","7063.11"
"362","49","26","4","5938.5"
"363","61","61","1","623.12"
"364","240","126","3","1691.18"
"365","185","206","4","117.19"
"366","51","70","5","2877.0"
"367","146","55","2","342.76"
"368","91","195","2","9333.48"
"369","151","120","5","2339.73"
"370","152","122","2","6073.61"
"371","117","106","1","5882.15"
"372","235","40","3","6792.45"
"373","87","76","5","5570.55"
"374","4","178","5","9850.45"
"375","144","183","2","4139.24"
"376","131","161","3","6792.45"
"377","64","238","1","752.59"
"378","188","178","3","860.86"
"379","74","161","5","860.86"
"380","47","189","5","9314.48"
"381","184","184","1","2339.73"
"382","185","130","1","8773.08"
"383","176","133","3","5694.03"
"384","30","53","3","9870.59"
"385","98","201","2","3653.17"
"386","28","46","3","3683.76"
"387","156","168","1","5074.91"
"388","83","107","4","8841.16"
"389","171","20","4","551.18"
"390","243","208","5","8028.36"
"391","247","179","3","3350.47"
"392","45","36","1","2917.15"
"393","115","105","1","1964.67"
"394","145","20","2","1691.18"
"395","148","90","4","4381.66"
"396","80","20","2","7607.42"
"397","151","60","5","2219.46"
"398","201","129","1","7116.97"
"399","14","17","1","9215.84"
"400","182","102","5","4853.26"
"401","214","130","5","4323.09"
"402","149","39","1","6184.65"
"403","169","86","5","767.03"
"404","155","11","3","752.59"
"405","87","27","5","6345.23"
"406","37","154","4","8752.32"
"407","220","139","5","4139.24"
"408","37","230","4","6636.82"
"409","90","137","1","5048.9"
"410","13","120","5","8032.75"
"411","48","146","2","2184.02"
"412","240","154","2","9655.56"
"413","126","95","3","4124.18"
"414","210","144","5","4381.29"
"415","63","209","2","8276.27"
"416","121","68","1","4268.07"
"417","213","151","1","7116.97"
"418","132","130","3","817.19"
"419","161","6","1","2731.93"
"420","153","79","4","1832.16"
"421","172","208","2","8192.89"
"422","77","127","4","7652.6"
"423","58","223","2","8841.16"
"424","33","133","1","9246.01"
"425","181","210","5","8773.08"
"426","142","125","5","6523.86"
"427","187","232","3","2495.79"
"428","179","27","1","4195.2"
"429","30","161","2","7213.8"
"430","70","2","5","4691.98"
"431","92","68","3","9235.12"
"432","56","247","2","7531.84"
"433","80","69","2","850.62"
"434","197","247","5","6643.91"
"435","207","1","4","9918.03"
"436","61","29","3","5998.88"
"437","106","99","4","5198.87"
"438","216","24","3","4991.36"
"439","152","41","2","2900.7"
"440","240","111","4","4168.47"
"441","199","110","4","9101.74"
"442","75","197","1","7377.15"
"443","66","94","5","4168.47"
"444","186","139","4","8780.7"
"445","3","185","3","752.59"
"446","147","217","3","243.65"
"447","134","239","3","6792.45"
"448","129","225","3","4381.29"
"449","38","214","5","2108.39"
"450","207","245","4","2877.0"
"451","213","50","2","9235.12"
"452","164","122","2","5121.04"
"453","130","158","1","4139.24"
"454","24","56","4","9633.08"
"455","216","76","5","7686.94"
"456","6","37","2","6378.49"
"457","47","217","1","7116.97"
"458","84","92","5","9918.03"
"459","122","38","1","7531.84"
"460","209","15","5","4225.21"
"461","164","59","1","342.76"
"462","179","174","4","3861.99"
"463","55","163","3","5200.76"
"464","124","188","1","7116.97"
"465","63","26","2","3056.89"
"466","226","78","4","3321.93"
"467","200","24","3","8245.55"
"468","82","7","4","2219.46"
"469","47","171","1","4999.8"
"470","21","4","5","2928.38"
"471","32","105","3","4005.32"
"472","36","128","2","4124.18"
"473","31","137","4","1058.54"
"474","183","111","4","342.76"
"475","249","115","3","3683.76"
"476","141","220","1","3260.1"
"477","101","235","1","1376.32"
"478","135","249","3","2339.73"
"479","171","15","5","7410.31"
"480","67","43","1","5520.54"
"481","142","245","3","5520.54"
"482","193","249","1","7573.36"
"483","101","249","4","6073.61"
"484","9","211","5","7684.3"
"485","180","21","4","4103.75"
"486","52","58","1","716.9"
"487","13","49","5","2363.48"
"488","4","31","2","4021.52"
"489","197","161","1","4078.4"
"490","211","26","4","487.71"
"491","9","230","5","9281.77"
"492","206","63","4","4784.01"
"493","87","68","4","6624.09"
"494","157","105","4","6640.52"
"495","83","133","3","3861.99"
"496","160","194","2","5421.73"
"497","221","76","2","8820.17"
"498","121","144","4","3189.38"
"499","103","80","3","2795.17"
"500","67","242","5","4168.47"
"501","222","130","1","6395.44"
"502","204","8","3","9235.12"
"503","153","241","3","8322.54"
"504","6","236","3","6792.45"
"505","104","78","2","9655.56"
"506","56","126","5","5048.9"
"507","91","246","4","9635.82"
"508","169","223","2","8245.55"
"509","234","128","1","4139.24"
"510","51","110","4","9633.08"
"511","80","173","3","4139.24"
"512","204","22","5","6500.52"
"513","220","16","3","332.23"
"514","141","30","5","9850.45"
"515","117","70","2","1284.05"
"516","136","227","2","9635.82"
"517","30","113","3","2731.93"
"518","157","213","4","5649.6"
"519","34","119","2","4999.8"
"520","167","36","2","1045.58"
"521","204","233","4","8276.27"
"522","147","14","3","4691.98"
"523","139","128","4","2593.27"
"524","120","49","3","7686.94"
"525","17","206","5","6395.44"
"526","191","150","3","4332.0"
"527","144","16","5","4225.21"
"528","210","165","1","9235.12"
"529","78","183","2","752.59"
"530","14","102","1","5875.8"
"531","81","120","4","8841.16"
"532","166","134","3","3056.89"
"533","140","84","3","2339.73"
"534","119","228","2","6992.92"
"535","30","165","5","752.59"
"536","248","60","5","6312.49"
"537","68","247","4","3056.89"
"538","165","157","5","1564.64"
"539","197","68","1","6643.91"
"540","160","76","5","9101.74"
"541","46","89","5","2495.79"
"542","111","13","4","487.71"
"543","150","28","5","7531.84"
"544","99","21","2","798.93"
"545","96","35","5","2877.0"
"546","137","131","2","3056.89"
"547","70","200","5","5968.04"
"548","161","188","5","5421.73"
"549","234","249","3","117.19"
"550","136","31","3","8780.7"
"551","128","18","2","3493.51"
"552","46","61","2","5537.03"
"553","152","173","4","5674.3"
"554","123","34","3","1284.05"
"555","81","197","4","8274.0"
"556","243","233","5","5074.91"
"557","211","214","3","7293.66"
"558","110","155","2","4323.09"
"559","83","176","2","5267.8"
"560","55","132","2","332.23"
"561","187","193","5","4784.01"
"562","121","44","1","3517.4"
"563","141","226","1","4991.36"
"564","60","185","4","5882.15"
"565","207","15","5","1260.87"
"566","27","89","3","7652.6"
"567","207","230","2","4078.4"
"568","119","116","1","716.9"
"569","159","233","2","6345.23"
"570","245","100","3","9850.45"
"571","129","133","1","5998.88"
"572","209","123","5","3946.18"
"573","51","76","5","6110.45"
"574","219","27","4","6110.45"
"575","158","230","1","5694.03"
"576","240","200","2","7290.83"
"577","39","189","3","1603.85"
"578","43","92","1","7762.99"
"579","177","234","5","2184.02"
"580","144","165","1","1535.84"
"581","218","244","2","7410.31"
"582","216","48","4","3189.38"
"583","126","84","2","4005.32"
"584","113","136","5","7686.94"
"585","28","84","1","2408.33"
"586","209","53","5","1619.74"
"587","249","100","4","7410.31"
"588","27","231","3","8064.65"
"589","57","160","5","7861.64"
"590","127","171","3","667.26"
"591","195","63","1","1260.87"
"592","195","4","5","3321.93"
"593","192","30","2","1620.81"
"594","158","195","4","9789.95"
"595","113","134","5","3653.17"
"596","23","141","1","2363.48"
"597","119","182","2","8898.02"
"598","126","223","2","5198.87"
"599","47","232","4","1552.44"
"600","129","42","3","3787.61"
"601","152","210","1","2184.02"
"602","44","95","5","8927.21"
"603","133","28","5","6807.95"
"604","202","54","2","2877.0"
"605","165","164","4","7410.31"
"606","115","225","2","6643.91"
"607","234","53","3","9314.48"
"608","123","175","5","3517.4"
"609","14","59","4","9534.79"
"610","64","39","2","8820.17"
"611","59","201","1","8990.96"
"612","167","44","3","2366.68"
"613","85","42","3","4195.2"
"614","186","129","1","1552.44"
"615","45","100","4","1552.44"
"616","247","249","4","8714.13"
"617","174","145","2","6191.38"
"618","228","177","2","7213.8"
"619","149","103","4","4078.4"
"620","10","106","4","243.65"
"621","80","220","3","4150.65"
"622","160","89","3","8705.35"
"623","77","200","5","1284.05"
"624","113","49","2","7377.15"
"625","24","25","5","802.74"
"626","231","27","3","3714.93"
"627","221","80","2","9635.82"
"628","123","233","5","6191.38"
"629","237","23","3","817.19"
"630","142","55","4","3210.55"
"631","67","152","5","9633.08"
"632","181","195","4","4268.07"
"633","174","119","5","6523.86"
"634","146","59","3","2108.39"
"635","127","250","4","6258.58"
"636","191","127","4","1944.53"
"637","2","78","4","7585.56"
"638","158","154","5","4268.07"
"639","173","170","2","4551.09"
"640","150","194","1","6597.24"
"641","143","178","5","3350.47"
"642","128","38","1","7678.67"
"643","194","32","1","2900.7"
"644","37","187","1","1412.28"
"645","10","120","4","1080.52"
"646","186","68","5","6902.07"
"647","113","29","5","8276.27"
"648","37","94","5","2648.53"
"649","216","189","2","2705.63"
"650","226","149","1","1260.87"
"651","203","33","3","9235.12"
"652","172","122","3","9235.12"
"653","144","244","4","2219.46"
"654","192","42","5","4691.98"
"655","222","211","1","540.54"
"656","91","113","5","7684.3"
"657","54","88","5","2357.34"
"658","193","16","4","3653.17"
"659","170","128","1","6395.44"
"660","136","190","2","6345.23"
"661","161","166","1","3359.43"
"662","94","216","1","2593.27"
"663","114","110","3","6500.52"
"664","133","50","4","4381.29"
"665","73","197","2","3056.89"
"666","195","95","3","2393.69"
"667","179","236","1","1958.48"
"668","127","204","5","8990.96"
"669","182","95","3","8841.16"
"670","176","219","5","9633.08"
"671","245","87","5","5267.8"
"672","43","114","4","5777.69"
"673","105","159","5","1284.05"
"674","62","86","3","741.97"
"675","146","57","5","4225.21"
"676","238","234","1","3350.47"
"677","77","38","2","6640.52"
"678","78","175","3","4853.26"
"679","48","119","2","5694.03"
"680","37","188","1","6268.58"
"681","130","212","3","8279.73"
"682","94","153","1","1080.52"
"683","162","15","3","1002.48"
"684","98","211","2","4381.66"
"685","205","225","1","8820.17"
"686","40","205","4","6073.61"
"687","172","25","2","3861.99"
"688","66","218","1","4268.07"
"689","188","30","1","8279.73"
"690","50","153","1","8990.96"
"691","97","79","5","2108.39"
"692","158","151","4","487.71"
"693","69","137","2","1564.64"
"694","26","164","1","1868.25"
"695","171","5","2","9602.36"
"696","19","32","1","2750.84"
"697","67","232","4","667.26"
"698","94","4","2","9870.59"
"699","109","116","3","6395.44"
"700","80","50","4","8898.02"
"701","247","139","3","9602.36"
"702","103","221","2","5187.51"
"703","119","41","1","5376.0"
"704","112","170","1","1535.84"
"705","199","95","1","6184.65"
"706","196","19","2","540.54"
"707","88","78","4","2980.08"
"708","7","81","1","5121.04"
"709","61","39","3","2917.15"
"710","37","48","5","7413.4"
"711","2","151","5","117.19"
"712","65","31","2","4980.31"
"713","130","239","1","752.59"
"714","154","77","5","4381.66"
"715","241","128","3","1603.85"
"716","185","48","2","390.21"
"717","227","17","2","4139.24"
"718","110","92","1","3760.41"
"719","15","14","3","850.62"
"720","181","212","4","5537.03"
"721","31","52","5","540.54"
"722","226","139","3","7293.66"
"723","50","210","3","2750.84"
"724","143","174","3","3260.1"
"725","143","33","5","7063.11"
"726","110","180","5","487.71"
"727","147","203","2","7213.8"
"728","233","81","5","802.74"
"729","121","172","1","7573.36"
"730","231","193","5","7290.83"
"731","183","199","5","817.19"
"732","48","240","5","3056.89"
"733","225","115","2","9870.59"
"734","73","126","3","935.63"
"735","98","247","5","6073.61"
"736","242","169","2","332.23"
"737","177","46","1","1619.74"
"738","81","200","3","3000.73"
"739","165","148","4","5694.03"
"740","106","142","5","5074.91"
"741","190","133","2","2877.0"
"742","19","12","4","6992.92"
"743","244","110","4","1964.67"
"744","147","11","1","2273.83"
"745","239","170","4","8245.55"
"746","238","95","1","923.24"
"747","132","236","3","4021.52"
"748","221","19","5","8192.89"
"749","237","120","4","8841.16"
"750","245","21","2","2795.17"
"751","8","79","5","2648.53"
"752","56","144","5","1308.45"
"753","15","4","2","8990.96"
"754","225","216","5","8927.21"
"755","57","16","4","6098.94"
"756","141","72","5","7318.35"
"757","119","158","4","9101.74"
"758","141","211","1","2357.34"
"759","122","39","1","395.17"
"760","207","120","5","5882.15"
"761","241","116","2","8705.35"
"762","17","104","5","2593.27"
"763","246","214","3","6191.38"
"764","191","232","5","3359.43"
"765","69","164","2","5717.45"
"766","236","207","1","7686.94"
"767","108","39","4","390.21"
"768","169","6","2","7686.94"
"769","44","249","4","7684.3"
"770","23","168","2","895.73"
"771","61","81","5","1868.25"
"772","54","35","5","817.19"
"773","209","150","3","5421.73"
"774","227","43","5","1619.74"
"775","91","78","1","7590.72"
"776","49","67","1","1535.84"
"777","166","239","4","2108.39"
"778","93","172","4","1284.05"
"779","241","31","3","540.54"
"780","218","190","1","767.03"
"781","92","70","1","8943.11"
"782","102","87","4","7531.84"
"783","78","250","5","767.03"
"784","225","223","3","5875.8"
"785","58","41","2","5876.74"
"786","230","190","3","9602.36"
"787","119","27","2","3683.76"
"788","91","125","1","1603.85"
"789","159","56","3","5649.6"
"790","66","87","3","4784.01"
"791","90","124","4","6268.58"
"792","166","198","4","1806.01"
"793","11","122","4","4332.0"
"794","56","197","4","4046.54"
"795","200","227","4","6184.65"
"796","238","172","1","5694.03"
"797","151","200","2","9633.08"
"798","31","156","1","3861.99"
"799","30","20","5","7293.66"
"800","56","203","5","6807.95"
"801","38","100","2","6643.91"
"802","195","177","4","2980.08"
"803","183","100","4","9850.45"
"804","80","45","1","1284.05"
"805","98","197","4","487.71"
"806","20","81","5","8245.55"
"807","22","119","2","3683.76"
"808","169","86","5","8943.11"
"809","27","82","4","8943.11"
"810","122","13","5","2731.93"
"811","229","26","1","3370.73"
"812","140","128","4","1619.74"
"813","27","77","3","6531.36"
"814","83","228","5","6636.82"
"815","76","106","4","4046.54"
"816","38","85","5","817.19"
"817","102","141","3","3359.43"
"818","220","18","1","1691.18"
"819","97","89","2","850.62"
"820","138","40","3","5198.87"
"821","180","115","4","610.54"
"822","54","97","4","4140.82"
"823","30","193","2","8705.35"
"824","119","38","5","3946.18"
"825","148","146","5","8820.17"
"826","244","210","2","4140.82"
"827","213","134","1","741.97"
"828","107","4","2","5976.58"
"829","131","19","3","8773.08"
"830","199","177","5","3370.73"
"831","116","20","5","8898.02"
"832","112","163","4","9534.79"
"833","197","164","1","3683.76"
"834","229","227","3","2495.79"
"835","184","160","3","6792.45"
"836","220","163","3","6902.07"
"837","89","168","3","7318.35"
"838","236","130","3","3612.93"
"839","104","167","3","4759.83"
"840","165","216","5","117.19"
"841","165","216","2","390.21"
"842","204","245","2","923.24"
"843","74","190","4","9918.03"
"844","32","249","2","9655.56"
"845","188","64","4","6312.49"
"846","9","131","1","9951.53"
"847","44","159","5","8383.47"
"848","33","209","3","1620.81"
"849","217","39","1","7063.11"
"850","152","227","1","7063.11"
"851","134","199","3","2651.16"
"852","244","96","2","7684.3"
"853","50","73","3","8032.75"
"854","119","85","3","3946.18"
"855","72","182","5","5876.74"
"856","105","136","4","5376.0"
"857","149","138","3","610.54"
"858","80","158","3","1045.58"
"859","246","126","5","2484.16"
"860","49","154","4","5777.69"
"861","246","6","5","798.93"
"862","212","84","4","1240.46"
"863","198","91","4","7590.72"
"864","32","223","1","6184.65"
"865","5","117","4","5694.03"
"866","188","68","3","5537.03"
"867","165","218","3","2980.08"
"868","219","8","4","7652.6"
"869","71","83","5","5938.5"
"870","51","135","3","4005.32"
"871","40","147","5","6992.92"
"872","169","154","1","3600.83"
"873","104","8","1","1806.01"
"874","28","86","3","1930.01"
"875","76","98","4","7762.99"
"876","85","78","2","2393.69"
"877","127","115","2","1240.46"
"878","77","212","1","6992.92"
"879","14","46","3","7573.36"
"880","13","1","4","2554.45"
"881","63","78","2","1535.84"
"882","30","63","2","8279.73"
"883","176","192","3","6523.86"
"884","34","187","4","9314.48"
"885","25","58","1","788.45"
"886","178","88","5","2363.48"
"887","168","14","2","1564.64"
"888","175","175","2","1806.01"
"889","174","41","5","2363.48"
"890","5","182","4","3000.73"
"891","114","118","5","2980.08"
"892","249","102","1","9918.03"
"893","96","173","2","3946.18"
"894","129","49","4","2219.46"
"895","32","182","2","3714.93"
"896","98","99","5","6643.91"
"897","109","249","3","5882.15"
"898","147","188","1","8705.35"
"899","92","239","1","1564.64"
"900","198","36","4","741.97"
"901","118","84","1","8927.21"
"902","207","143","2","5074.91"
"903","74","75","5","5074.91"
"904","128","92","4","4078.4"
"905","161","221","2","4103.75"
"906","30","7","2","7607.42"
"907","77","156","3","6807.95"
"908","86","121","4","3350.47"
"909","100","29","5","2795.17"
"910","199","155","4","2705.63"
"911","246","72","2","2877.0"
"912","57","102","1","8322.54"
"913","233","102","4","8752.32"
"914","203","9","3","8820.17"
"915","220","175","3","5200.76"
"916","16","217","2","7063.11"
"917","84","243","5","7590.72"
"918","83","37","1","8780.7"
"919","23","239","5","5520.54"
"920","124","139","1","6258.58"
"921","24","201","1","1832.16"
"922","219","141","1","4140.82"
"923","202","19","5","9789.95"
"924","182","18","3","6500.52"
"925","64","154","3","2233.44"
"926","78","203","3","667.26"
"927","94","185","2","7410.31"
"928","172","204","4","667.26"
"929","73","214","5","8773.08"
"930","26","238","4","9918.03"
"931","45","13","2","935.63"
"932","11","103","3","4103.75"
"933","207","178","2","390.21"
"934","144","24","3","1002.48"
"935","92","92","4","6258.58"
